acteurs,date,description,durée,genre,original_title,public,score,title
"Sofia Helin,Rafael Pettersson,Sarah Boberg",2011–2018,"When a body is found on the bridge between Denmark and Sweden, right on the border, Danish inspector Martin Rohde and Swedish Saga Norén have to share jurisdiction and work together to find the killer.",1,Crime,,TV-MA,8.6,The Bridge
,1986,,176,Comedy,,TV-PG,8.6,Blackadder II
,2006–2008,"After being given a mysterious power to control others, an outcast prince becomes the masked leader of the rebellion against an all-powerful empire.",24,Animation,,TV-14,8.7,Code Geass
,2010–2019,,90,Crime,,TV-14,8.8,Behzat Ç.: Bir Ankara Polisiyesi
"Aaron LaPlante,Laëtitia Eïdo,Fred Tatasciore",2019– ,A caveman and a dinosaur bond over shared tragedy and work together to survive in a perilous prehistoric world.,22,Animation,,TV-MA,8.7,Primal
"Donald Glover,Brian Tyree Henry,LaKeith Stanfield",2016–2022,"Earn and his cousin Alfred, based in Atlanta, try to make their way in the world through the rap scene. Along the way they come face-to-face with social and economic issues touching on race, relationships, poverty, status, and parenthood.",30,Comedy,,TV-MA,8.6,Atlanta
"Alexandre Crepet,Junko Takeuchi,Maile Flanagan",2007–2017,"Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of all ninja in the village.",24,Animation,,TV-PG,8.7,Naruto: Shippuden
,2015,"Filmmaker Andrew Jarecki examines the complicated life of reclusive real estate icon Robert Durst, the key suspect in a series of unsolved crimes.",279,Documentary,,TV-14,8.6,The Jinx: The Life and Deaths of Robert Durst
"Milo Ventimiglia,Mandy Moore,Sterling K. Brown",2016–2022,"A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents.",45,Comedy,,TV-14,8.7,This Is Us
"Michael C. Hall,Jennifer Carpenter,David Zayas",2006–2013,"He's smart. He's lovable. He's Dexter Morgan, America's favorite serial killer, who spends his days solving crimes and nights committing them. Golden Globe winner Michael C. Hall stars in the hit SHOWTIME Original Series.",53,Crime,,TV-MA,8.7,Dexter
"David Duchovny,Gillian Anderson,Mitch Pileggi",1993–2018,"Two F.B.I. Agents, Fox Mulder the believer and Dana Scully the skeptic, investigate the strange and unexplained, while hidden forces work to impede their efforts.",45,Crime,,TV-14,8.6,The X-Files
"Amy Poehler,Jim O'Heir,Nick Offerman",2009–2015,The absurd antics of an Indiana town's public officials as they pursue sundry projects to make their city a better place.,22,Comedy,,TV-14,8.6,Parks and Recreation
