acteurs,actors,date,description,duree,durée,genre,original_title,public,score,title
"Cary Grant,Eva Marie Saint,James Mason",,1959,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.",136,,Action,,Approved,8.3,North by Northwest
"Peter O'Toole,Alec Guinness,Anthony Quinn",,1962,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",218,,Adventure,,Approved,8.3,Lawrence of Arabia
"Peter Lorre,Ellen Widmann,Inge Landgut",,1931,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",99,,Crime,,Passed,8.3,M
"Orson Welles,Joseph Cotten,Dorothy Comingore",,1941,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'",119,,Drama,,PG,8.3,Citizen Kane
"Aleksey Kravchenko,Olga Mironova,Liubomiras Laucevicius",,1985,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",142,,Drama,,Not Rated,8.4,Come and See
"Mads Mikkelsen,Thomas Bo Larsen,Annika Wedderkopp",,2012,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",115,,Drama,,R,8.3,The Hunt
"Harvey Keitel,Tim Roth,Michael Madsen",,1992,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",99,,Crime,,R,8.3,Reservoir Dogs
"Jim Carrey,Kate Winslet,Tom Wilkinson",,2004,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories for ever.",108,,Drama,,R,8.3,Eternal Sunshine of the Spotless Mind
"Keir Dullea,Gary Lockwood,William Sylvester",,1968,"After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins - a spacecraft manned by two men and the supercomputer H.A.L. 9000.",149,,Adventure,,G,8.3,2001: A Space Odyssey
"Zain Al Rafeea,Yordanos Shiferaw,Boluwatife Treasure Bankole",,2018,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",126,,Drama,,R,8.4,Capernaum
"Mark Hamill,Harrison Ford,Carrie Fisher",,1983,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.",131,,Action,,PG,8.3,Star Wars: Episode VI - Return of the Jedi
"Toshirô Mifune,Yutaka Sada,Tatsuya Nakadai",,1963,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.,143,,Crime,,Not Rated,8.4,High and Low
"Tom Hanks,Tim Allen,Joan Cusack",,2010,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",103,,Animation,,G,8.3,Toy Story 3
"Gene Kelly,Donald O'Connor,Debbie Reynolds",,1952,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,103,,Comedy,,G,8.3,Singin' in the Rain
"Aamir Khan,Madhavan,Mona Singh",,2009,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",170,,Comedy,,PG-13,8.4,3 Idiots
"Ellen Burstyn,Jared Leto,Jennifer Connelly",,2000,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,102,,Drama,,Unrated,8.3,Requiem for a Dream
"Tom Cruise,Jennifer Connelly,Miles Teller",,2022,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it.",130,,Action,,PG-13,8.4,Top Gun: Maverick
"Ryûnosuke Kamiki,Mone Kamishiraishi,Ryô Narita",,2016,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",106,,Animation,,TV-PG,8.4,Your Name.
"Robin Williams,Matt Damon,Ben Affleck",,1997,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",126,,Drama,,R,8.3,Good Will Hunting
"Robert De Niro,James Woods,Elizabeth McGovern",,1984,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.",229,,Crime,,R,8.3,Once Upon a Time in America
"Yôji Matsuda,Yuriko Ishida,Yûko Tanaka",,1997,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",134,,Animation,,PG-13,8.4,Princess Mononoke
"Robert Downey Jr.,Chris Evans,Mark Ruffalo",,2019,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",181,,Action,,PG-13,8.4,Avengers: Endgame
"Mel Gibson,Sophie Marceau,Patrick McGoohan",,1995,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,178,,Biography,,R,8.4,Braveheart
"Tom Hanks,Tim Allen,Don Rickles",,1995,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,81,,Animation,,G,8.3,Toy Story
"Anthony Gonzalez,Gael García Bernal,Benjamin Bratt",,2017,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",105,,Animation,,PG,8.4,Coco
"Joaquin Phoenix,Robert De Niro,Zazie Beetz",,2019,A mentally troubled stand-up comedian embarks on a downward spiral that leads to the creation of an iconic villain.,122,,Crime,,R,8.4,Joker
"Brad Pitt,Diane Kruger,Eli Roth",,2009,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",153,,Adventure,,R,8.3,Inglourious Basterds
"F. Murray Abraham,Tom Hulce,Elizabeth Berridge",,1984,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him.",160,,Biography,,PG,8.4,Amadeus
"Choi Min-sik,Yoo Ji-tae,Kang Hye-jeong",,2003,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",2,,Action,,R,8.4,Oldboy
"Christian Bale,Tom Hardy,Anne Hathaway",,2012,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Selina Kyle, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",164,,Action,,PG-13,8.4,The Dark Knight Rises
